"filename", "language", "Markdown", "log", "C++", "comment", "blank", "total"
"/home/fenn/Desktop/AlopexOS/AlopexOSCxxPhilosophy.md", "Markdown", 24, 0, 0, 0, 23, 47
"/home/fenn/Desktop/AlopexOS/Contributors.md", "Markdown", 2, 0, 0, 0, 1, 3
"/home/fenn/Desktop/AlopexOS/LICENSE.md", "Markdown", 27, 0, 0, 0, 10, 37
"/home/fenn/Desktop/AlopexOS/README.md", "Markdown", 39, 0, 0, 0, 24, 63
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/AVFS/avfs.hpp", "C++", 0, 0, 32, 0, 9, 41
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/AlopexOS.hpp", "C++", 0, 0, 12, 0, 3, 15
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/AlopexOS_ErrorCodes.hpp", "C++", 0, 0, 7, 0, 0, 7
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/PCI/nvme/nvme.hpp", "C++", 0, 0, -3, 0, 0, -3
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/SystemXABI/SystemX.hpp", "C++", 0, 0, 3, 0, 3, 6
"/home/fenn/Desktop/AlopexOS/include/AlopexOS/abtrfs/abtrfs.hpp", "C++", 0, 0, 14, 0, 2, 16
"/home/fenn/Desktop/AlopexOS/include/arr.hpp", "C++", 0, 0, 2, 0, 0, 2
"/home/fenn/Desktop/AlopexOS/include/expected.hpp", "C++", 0, 0, 80, 2, 27, 109
"/home/fenn/Desktop/AlopexOS/include/memory.hpp", "C++", 0, 0, 36, 5, 12, 53
"/home/fenn/Desktop/AlopexOS/include/primetives.h", "C++", 0, 0, 46, 0, 15, 61
"/home/fenn/Desktop/AlopexOS/include/primitives.h", "C++", 0, 0, -71, 0, -21, -92
"/home/fenn/Desktop/AlopexOS/include/primitives.hpp", "C++", 0, 0, 72, 0, 22, 94
"/home/fenn/Desktop/AlopexOS/include/string.hpp", "C++", 0, 0, 220, 1, 24, 245
"/home/fenn/Desktop/AlopexOS/serial.log", "log", 0, 66, 0, 0, 1, 67
"/home/fenn/Desktop/AlopexOS/src/AVFS/avfs.hpp", "C++", 0, 0, 0, 0, 1, 1
"/home/fenn/Desktop/AlopexOS/src/AlopexOS.cpp", "C++", 0, 0, 19, 0, 4, 23
"/home/fenn/Desktop/AlopexOS/src/PCI/nvme/nvme.cpp", "C++", 0, 0, 4, 0, 1, 5
"/home/fenn/Desktop/AlopexOS/src/abtrfs/abtrfs.cpp", "C++", 0, 0, 213, 0, 56, 269
"/home/fenn/Desktop/AlopexOS/src/kernel/display.cpp", "C++", 0, 0, -1, 0, 0, -1
"/home/fenn/Desktop/AlopexOS/src/kernel/new.cpp", "C++", 0, 0, 8, 0, 1, 9
"/home/fenn/Desktop/AlopexOS/src/main.cpp", "C++", 0, 0, 64, 2, 9, 75
"/home/fenn/Desktop/AlopexOS/src/string.cpp", "C++", 0, 0, -253, 0, -36, -289
"Total", "-", 92, 66, 504, 10, 191, 863
